keys,en,ru,de
KEY_00,"Welcome agent, here you are at last. It is a great honor and obligation to work for Ustria's Secret Service. Our great leader wants to participate in the space race. Therefore, the great nation of Ustria shall be the first on the Moon.",,
KEY_01,Unfortunately we do not even have a rocket yet. And that is why they are here today. Our agency will obtain plans and secret documents to support our great scientists.,,
KEY_02,"Before you go on your first mission: In the basement is your office where you can save your progress, your colleague who can equip you with additional upgrades and a training parkour.",,
KEY_03,Do you have any questions?,,
KEY_officeReply,Text about saving and upgrades.,,
KEY_train,Have fun!,,
KEY_skipTutorial,Ok. Are you sure?,,
,,,
,,,
,,,
,,,
KEY_10,"Wow, that was really slow, even my grandma could have done it faster. But well, you just have to take what you get.",,
KEY_11,"Okay, your first mission will take you to the Soviet Union. Their rocket technology is the best in the world. Our researchers need these plans for, umm ... inspiration.",,
KEY_12,My secretary Natasja prepared a detailed mission briefing for this. Take the car in front of the building to start the mission.,,
,,,
KEY_20,"Welcome back comrade, your last mission helped our scientists a lot. But the plans seem to be incomplete or incorrect.",,
KEY_21,"One scientist said there were notes on it like \""use glue here\"" or \""duct tape there\"". This cannot be correct.",,
KEY_22,Your mission is to infiltrate the Soyuz factory and take pictures of the rockets boosters.,,
,,,
KEY_30,Well that photos were really impressive. It looks like they have been using a lot of duct tape on that rocket.,,
KEY_31,About your next mission: This time I have a very private task. Top Secret!,,
KEY_32,I think my wife is cheating on me. Take the camera and give me some solid evidence! Well I hope she is not. ,,
,,,
KEY_40,I have seen the photos. I guess I already knew it. But something more important: Our intelligence tells us that the American Lunar Landing Mission is very close to a breakthrough.,,
KEY_41,"We absolutely need those plans! There is not much time left. Enter the NASA Headquarter, get an overview about what is going on and get us those plans!",,
KEY_42,Hurry up! Time is ticking.,,
,,,
KEY_50,"Comrade, the secret documents that you provided us with are only a movie script. Apparently the Americans want to trick us and prepare their moon landing somewhere else.",,
KEY_51,"Another informant, told us another NASA Lab location. Maybe the plans can be found there.",,
KEY_52,Infiltrate the building and get those informations.,,
,,,
KEY_60,Thank you for playing our game! Rate the game and follow us for updates on it._,,
