keys,en,de
MISSION_BRIEFING_LEVEL1,"A few days ago (May 28, 1961), U.S. President John F. Kennedy called for a moon race. Our great leader wants for our nation to secure its rightful place in the world. Our intelligence concluded that Soviet space technology is the most advanced.\n\nYuri Gagarin was the first man in space and the first man to fly into orbit. Your mission is to search for and steal plans of the Vostok-K 8K72K rocket. We got the location of soviet central archive from a confirmed source. Look for the plans. And do not disappoint us!","Vor ein paar Tagen (28. Mai 1961) rief US-Präsident John F. Kennedy zum Mondrennen auf. Unser großer Führer möchte, dass unsere Nation ihren rechtmäßigen Platz in der Welt sichert. Unser Geheimdienst ist zu dem Schluss gekommen, dass die sowjetische Raumfahrttechnologie am weitesten fortgeschritten ist. Juri Gagarin war der erste Mensch im Weltraum und der erste Mensch, der in die Umlaufbahn geflogen ist. Ihre Mission ist es, nach Plänen der Vostok-K 8K72K Rakete zu suchen und diese zu stehlen. Wir haben den Standort des sowjetischen Zentralarchivs von einer bestätigten Quelle erhalten. Suchen Sie nach den Plänen. Und enttäuschen Sie uns nicht!"
MISSION_BRIEFING_LEVEL2,"In August 1961, cosmonaut Titov (code name: Orjol) went on an orbital flight with the Vostok 2. Apparently there were medical problems and he has been under observation in a Soviet military hospital since.\nYour mission is to find out what physical impairments he had from the space flight and to get his medical records. Search all cabinets and bring us this file.\n\nHis name is: German Stepanovich Titov","Im August 1961 begab sich der Kosmonaut Titov (Codename: Orjol) mit der Vostok 2 auf einen Orbitalflug. Offenbar gab es medizinische Probleme und er steht seitdem in einem sowjetischen Militärkrankenhaus unter Beobachtung.\nIhre Aufgabe ist es, herauszufinden, welche körperlichen Beeinträchtigungen er durch den Raumflug hatte und seine medizinischen Unterlagen zu besorgen. Durchsuchen Sie alle Schränke und bringen Sie uns diese Akte.\n\nSein Name ist: German Stepanovich Titov"
MISSION_BRIEFING_LEVEL3,November 1961. We have information that a first American manned orbit of the Earth is to take place. The mission is called: Mercury-Atlas 5.\n\nThe guy in the training for this is called Mr. Enzo. You need to infiltrate the NASA training site and take some photos of Mr. Enzo's training program.\n\nWe want to know how the Americans prepare for something like this.,"November 1961. Wir haben Informationen, dass eine erste amerikanische bemannte Erdumrundung stattfinden soll. Die Mission wird genannt: Mercury-Atlas 5. Der Mann, der dafür trainiert, heißt Enzo. Sie müssen das NASA-Trainingsgelände infiltrieren und einige Fotos von Mr. Enzos Trainingsprogramm machen.\n\nWir wollen wissen, wie sich die Amerikaner auf so etwas vorbereiten."
MISSION_BRIEFING_LEVEL4,"Agent, this mission is a bit delicate and therefore TOP-TOP-Secret.\nI am afraid that my wife is having an affair. The new camera is very impressive so sneak into my house tonight and provide me with evidence! I've left you a note about the security system near the garage.","Agent, diese Mission ist ein bisschen heikel und daher TOP-TOP-Secret.\Ich befürchte, dass meine Frau eine Affäre hat. Der neue Fotoapparat ist sehr beeindruckend, also schleichen Sie sich heute Nacht in mein Haus und liefern Sie mir den Beweis! Ich habe Ihnen eine Notiz über das Sicherheitssystem in der Nähe der Garage hinterlassen."
MISSION_BRIEFING_LEVEL5,"The man is known by the name Platov. According to the lobby boy, he speaks with a Russian accent.\n\nBreak into his hotel room, tase him and bring him to me.\n\nI will have to interrogate him.\n\nHe lives in hotel room 6 on the third floor.","Der Mann ist unter dem Namen Platov bekannt. Laut dem Lobby-Boy spricht er mit russischem Akzent.\n\nBrechen Sie in sein Hotelzimmer ein, tasern Sie ihn und bringen Sie ihn zu mir.\n\n Ich werde ihn verhören müssen.\n\nEr wohnt in Hotelzimmer 6 im dritten Stock."
MISSION_BRIEFING_LEVEL6,"Our great researchers have made significant progress with our own rocket. However, there are now rumors that the Soviets are already working on improved boosters.\n\nWe have located a factory near Baikonur that is suitable for construction.\n\nEnter the factory near Baikonur and get us plans or photos of the prototypes.","Unsere großartigen Forscher haben bedeutende Fortschritte mit unserer eigenen Rakete gemacht. Allerdings gibt es jetzt Gerüchte, dass die Sowjets bereits an verbesserten Boostern arbeiten.\n\nWir haben eine Fabrik in der Nähe von Baikonur ausfindig gemacht, die für den Bau geeignet ist.\n\nBetreten Sie die Fabrik in der Nähe von Baikonur und besorgen Sie uns Pläne oder Fotos von den Prototypen."
MISSION_BRIEFING_LEVEL7,My wife comes from a very wealthy family. So her father insisted on a marriage contract. This one really has it in it. I would be virtually bankrupt and she would still be rich.\n\nWe deposited the marriage contract with the largest law firm in Ustria. Search the archives. My last name is Jankovic.\n\nDestroy the contract at all costs!,Meine Frau kommt aus einer sehr wohlhabenden Familie. Deshalb hat ihr Vater auf einen Ehevertrag bestanden. Dieser hat es wirklich in sich. Ich wäre praktisch bankrott und sie wäre trotzdem reich.\n\n Wir haben den Ehevertrag bei der größten Anwaltskanzlei in Ustria hinterlegt. Suchen Sie im Archiv. Mein Nachname ist Jankovic.\n\nZerstören Sie den Vertrag um jeden Preis!
MISSION_BRIEFING_LEVEL8,"We are virtually ready for our first space flight. In the final tests, however, the control unit showed some anomalies and we were asked by the space agency to find a replacement.\nIn fact, the Soviet model seems to be identical to ours. That's why we have memorized the development department of the Soviets.\nBreak into the building and steal the unit.\nBy the way, while you are wearing an item you are not so agile and a bit sluggish. Plan your escape route carefully.","Wir sind praktisch bereit für unseren ersten Weltraumflug. Bei den letzten Tests zeigte das Steuergerät jedoch einige Anomalien und wir wurden von der Raumfahrtbehörde gebeten, einen Ersatz zu finden.\n Tatsächlich scheint das sowjetische Modell mit unserem identisch zu sein. Deshalb haben wir uns die Entwicklungsabteilung der Sowjets gemerkt.\nBrechen Sie in das Gebäude ein und stehlen Sie die Einheit.\n Übrigens, während Sie ein Gerät tragen, sind Sie nicht so agil und etwas träge. Planen Sie Ihren Fluchtweg sorgfältig."
MISSION_BRIEFING_LEVEL9,"Ustria is not a very rich country. The space program costs a lot and the great leader also needs a dignified lifestyle.\nTherefore, the only way I see to increase our funds is a classic bank robbery. And which country has a lot of banks and a lot of money?\n\nSwitzerland, of course! We want to steal a little bit of the Nazi gold from them to increase our own financial resources a little bit, our agents allready started the work on this one so it should be easy.","Ustria ist kein sehr reiches Land. Das Raumfahrtprogramm kostet viel und der große Führer braucht auch einen würdigen Lebensstil.\nDaher sehe ich die einzige Möglichkeit, unsere Mittel zu erhöhen, in einem klassischen Bankraub. Und welches Land hat viele Banken und viel Geld?\n\nDie Schweiz, natürlich! Wir wollen ihnen ein wenig von dem Nazigold stehlen, um unsere eigenen finanziellen Ressourcen ein wenig zu erhöhen, unsere Agenten haben bereits mit der Arbeit daran begonnen, also sollte es einfach sein."
MISSION_BRIEFING_LEVEL10,"Late in 1959, the Soviets made another lunar flyby with Luna 3. The special thing is that this time they took photos. We hope to find suitable landing sites for a moon landing from these photos.\n\nYour mission is to get these photos for us.","Ende 1959 machten die Sowjets mit Luna 3 einen weiteren Mondvorbeiflug. Das Besondere daran ist, dass sie dieses Mal Fotos gemacht haben. Wir hoffen, anhand dieser Fotos geeignete Landestellen für eine Mondlandung zu finden.\n\Ihre Aufgabe ist es, diese Fotos für uns zu beschaffen."
