keys,en,de
BOSS_KEY_00,"Good morning agent, there you are at last. Today is a great day for you. It is a great honor to serve the country of Ustria. Our great leader wants to participate in the space race. We will be the first nation on the moon!","Guten Morgen Agent, da sind Sie ja endlich. Heute ist ein großer Tag für Sie. Es ist eine große Ehre, dem Land Ustria zu dienen. Unser großer Führer will am Wettlauf ins All teilnehmen. Wir werden die erste Nation auf dem Mond sein!"
BOSS_KEY_01,Unfortunately we do not even have a rocket yet. And that is why you are here today. Our agency will obtain plans and secret documents to support our great scientists.,"Leider haben wir noch nicht einmal eine Rakete. Und genau deshalb sind Sie heute hier. Unsere Agentur wird Pläne und geheime Dokumente beschaffen, um unsere großen Wissenschaftler zu unterstützen."
BOSS_KEY_02,"Before you go on your first mission: In the basement is your office where you can save your progress, your colleague who can equip you with additional upgrades and a training parkour.","Bevor Sie auf Ihre erste Mission gehen: Im Keller befindet sich Ihr Büro, in dem Sie Ihren Fortschritt speichern können, ein Kollege, der Sie mit zusätzlichen Upgrades ausstatten kann und ein Trainingsparkour."
BOSS_KEY_03,You should complete the training parkour before going on your first mission. Do you have any questions?,"Sie sollten den Trainingsparkour absolvieren, bevor Sie auf Ihre erste Mission gehen. Haben Sie noch Fragen?"
BOSS_CHOICE_03_0,"No, let's train.","Nein, ich geh zum Parkour"
BOSS_CHOICE_03_1,Where is my office?,Wo ist mein Büro?
BOSS_CHOICE_03_2,Go directly on mission,Direkt auf Mission gehen
BOSS_KEY_train,"The training center is located in the basement. Good luck, comrade.","Das Trainingszentrum befindet sich im Keller. Viel Erfolg, Genosse."
BOSS_KEY_skipTutorial,"Okay. If you change your mind, you can always go to the training rooms. Do you want to skip it now?","Okay. Wenn Sie Ihre Meinung ändern, können Sie jederzeit in die Trainingsräume gehen. Wollen Sie es jetzt auslassen?"
BOSS_CHOICE_skipTutorial_0,"No, let's train.","Nein, ich geh zum Parkour"
BOSS_CHOICE_skipTutorial_1,"Yes, skip it.","Ja, brauch ich nicht"
BOSS_KEY_officeReply,One floor down and then the door on the right side.,Ein Stockwerk tiefer auf der rechten Seite.
BOSS_KEY_10,"Wow, that was really slow, even my grandma could have done it faster. But well, you just have to take what you get.","Wow, das war wirklich langsam, selbst meine Oma hätte es schneller geschafft. Aber gut, man muss einfach nehmen, was man bekommt."
BOSS_KEY_11,"Okay, your first mission will take you to the Soviet Union. Their rocket technology is the best in the world. Our researchers need these plans for, umm ... inspiration.","Okay, Ihre erste Mission wird Sie in die Sowjetunion führen. Deren Raketentechnologie ist die beste der Welt. Unsere Forscher brauchen diese Pläne für, ähm ... Inspiration."
BOSS_KEY_12,My secretary Natasja prepared a detailed mission briefing for you. Take the car in front of the building to start the mission.,"Meine Sekretärin Natasja hat ein ausführliches Missionsbriefing für Sie vorbereitet. Nehmen Sie das Auto vor dem Gebäude, um die Mission zu starten."
BOSS_KEY_21,"So far, these seem very authentic. Even though a lot of glue and duct tape seems to be used in the construction.",Bis jetzt wirken diese sehr authentisch. Auch wenn jede Menge Kleber und Klebeband in der Konstruktion verwendet zu werden scheint.
BOSS_KEY_23,"Good luck on your mission, Agent. Make the great leader proud.","Viel Erfolg bei Ihrer Mission, Agent. Machen Sie den großen Führer stolz."
