keys,en,de
KEY_00,Welcome to the Secret Service agent. The General is already waiting for you.,Willkommen beim Geheimdienst. Der General wartet bereits auf dich.
KEY_10,"Glad you made it. You are in good shape. By the way, when you are on mission have a look in the cabinets.","Schön, dass du es geschafft haben. Du sind gut in Form. Übrigens, wenn du im Einsatz bist wirf einen Blick in die Schränke. Es könnte sich lohnen."
KEY_20,Fantastic last mission! Consider using your money to buy upgrades.,"Fantastische erste Mission. Denke daran, dass du deinen Verdienst in Upgrades stecken kannst."
KEY_30,You are doing a very good job. The General is very pleased.,Du machst einen guten Job. Der General ist sehr zufrieden.
KEY_40,The chimpanzee must have looked too cute. Was he wearing clothes too?,Der Schimpanse muss zu niedlich ausgesehen haben. Hatte er auch Kleidung an?
CHOICE_40_0,Yes,Ja
CHOICE_40_1,No,Nein
KEY_42,"Too bad, that would have been super cute.","Schade, das wäre super süß gewesen."
KEY_41,Too bad you didn't take a photo.,"Schade, dass du kein Foto gemacht hast."
KEY_50,"I know that she is cheating. The last time I've sleeped with the General, I had this feeling.","Ich weiß, dass sie fremdgeht. Das letzte Mal, als ich mit dem General geschlafen habe, hatte ich schon dieses Gefühl."
CHOICE_50_0,About the Affaire,Wegen der Affäre
CHOICE_50_1,Nod,Nicken
KEY_51,It's part of my job. It takes a knight in white armour to get me out of here.,"Das gehört zu meinem Job. Es benötigt schon einen Ritter in weißer Rüstung, um mich hier rauszuholen."
KEY_52,"Actually, it's none of your business.",Eigentlich geht es dich das nichts an.
KEY_60,Hi. You're doing a really good job. Even on these discreet missions. I'm pretty sure this guy's doomed.,"Hi. Du machst einen wirklich guten Job. Sogar bei diesen diskreten Missionen. Ich bin mir ziemlich sicher, dass dieser Typ erledigt ist."
CHOICE_60_0,About the guy,Über den Typ
CHOICE_60_1,Whatever,Was auch immer
KEY_61,"The General does not forgive mistakes. Remember that. If you fall from grace, you'd better run.","Der General verzeiht keine Fehler. Merk dir das. Wenn du in Ungnade fallst, solltest du besser abhauen."
KEY_62,"Yes, the General is waiting.","Ja, der General wartet."
KEY_63,But please take me with you then.,Aber bitte nimm mich dann mit.
KEY_70,The general needs his marriage contract. His wife comes from a very wealthy and well-known family. There is a lot to get out of it.,Der General braucht seinen Ehevertrag. Seine Frau stammt aus einer sehr wohlhabenden und bekannten Familie. Da gibt es viel zu holen.
KEY_80,"Sorry, I don't have time to talk. I have to do this typing course. And besides, I'm still waiting for an invitation to a date.","Tut mir leid, ich habe keine Zeit zum Reden. Ich muss diesen Schreibmaschinenkurs machen. Und außerdem warte ich immer noch auf eine Einladung zu einem Date."
KEY_90,"I'm not normally allowed to talk about it, but our scientists are making really impressive progress. ","Ich darf normalerweise nicht darüber sprechen, aber unsere Wissenschaftler machen wirklich beeindruckende Fortschritte. "
CHOICE_90_0,About a date,Wegen einem Date
CHOICE_90_1,Nod,Nicken
KEY_92,Good luck on your next mission.,Viel Erfolg auf der nächsten Mission.
KEY_91,You mean an official date?,Du meinst ein richtiges Date?
CHOICE_91_0,Yes,Ja
CHOICE_91_1,No,Nein
KEY_93,I'm not sure if I'm allowed to meet work colleagues.,Ich weiß nicht ob ich mich mit Kollegen treffen darf...
KEY_94,Well. Have a nice day.,Schönen Tag noch.
KEY_101,What? We live in an autocratic state. Either you are part of the problem or part of the solution. Or both.,Was? Wir leben in einem autokratischen Staat. Entweder bist du Teil des Problems oder Teil der Lösung. Oder beides.
KEY_100,The bank robbery has significantly improved our resources. Just look at the new diamond earrings the general gave me.,"Der Banküberfall hat unsere Ressourcen deutlich verbessert. Sieh dir nur die neuen Diamantohrringe an, die mir der General geschenkt hat."
CHOICE_100_0,About the corruption,Über Korruption
CHOICE_100_1,Ok,Ok
KEY_102,Don't judge me. You also keep the stolen money for yourself. And you don't buy me a present either.,Verurteile mich nicht. Du behältst auch das gestohlene Geld für dich. Und du kaufst mir auch kein Geschenk.
KEY_120,"Oh, America must be so beautiful. When we are married, we have to go there.","Oh, Amerika muss so schön sein. Wenn wir verheiratet sind, müssen wir dorthin gehen."
KEY_110,I've had a look on those photos. Pretty cool but bad resolution.,"Ich habe mir die Fotos angeschaut. Ziemlich cool, aber schlechte Auflösung."
KEY_130,"Hey, what's up?","Hi, was gibts?"
CHOICE_130_0,About a date,Wegen einem Date
CHOICE_130_1,Nothing,Nichts
KEY_132,Oh crap. I thought you were asking me out on a date.,"Oh, Mist. Ich dachte, du wolltest dich mit mir verabreden."
KEY_131,"Oh dear, you know I would so much like to. But the general will kill me if I leave him.","Oh je, du weißt, dass ich das so gerne tun würde. Aber der General wird mich umbringen, wenn ich ihn verlasse."
KEY_140,"You know, when all this is over, we have to leave.","Du weißt, wenn das alles vorbei ist, müssen wir abhauen."
KEY_150,Have you read the news? Your sabotage cost the lives of three people.,Hast du die Nachrichten gelesen? Deine Sabotage hat drei Menschen gekostet das Leben gekostet.
