keys,en,de
TEST_TRANS,Test Translation: EN,Test Translation: DE
TEST_ENTRY,en,de
MENU_PLAY,Play,Spielen
MENU_LOAD,Load,Laden
MENU_SETTINGS,Settings,Einstellungen
MENU_EXIT,Exit,Beenden
SETTINGS_BRIGHTNESS,Brightness,Helligkeit
SETTINGS_CONTRAST,Contrast,Kontrast
SETTINGS_ON,On,An
SETTINGS_OFF,Off,Aus
SETTINGS_CREDITS,Credits,Mitwirkende
SETTINGS_APPLY,Apply,Übernehmen
SETTINGS_FULLSCREEN,Fullscreen,Vollbild
SETTINGS_SOUND,Sound,Sound
SETTINGS_MUSIC,Music,Musik
SETTINGS_BACK,Back,Zurück
SETTINGS_LOAD,Load,Laden
SETTINGS_TITLE_LOAD,Load Game,Spielstand laden
INGAME_CONTINUE,Continue,Fortsetzen
INGAME_RESTART,Restart,Neustart
INGAME_QUIT,Quit,Beenden
HUD_GAME_OVER,GAME OVER,GAME OVER
HUD_CLOSE_NOTIFICATION,Press E or Q to close,Drücke E oder Q zum schließen
HUD_BUY_UPGRADE,Buy Upgrade,Upgrade kaufen
HUD_SAVE_GAME,Save Game,Spielstand speichern
HUD_SAVE,Save,Speichern
HUD_GAME_SAVED,Game saved,Spiel gespeichert
HUD_MISSION_COMPLETE,Mission Complete - Return to HQ,Mission abgeschlossen - Kehre zum HQ zurück
UPGRADE_POWERBANK_TITLE,Power-Bank,Power-Bank
UPGRADE_DOG_TITLE,Dog Whisperer,Hundeflüsterer
UPGRADE_ALARM_TITLE,False Alarm,Fehlalarm
UPGRADE_SPRINT_TITLE,Marathon Man,Marathon-Mann
UPGRADE_SNEAK_TITLE,Sneak,Schleichen
UPGRADE_DARKNET_TITLE,DarkNet,DarkNet
UPGRADE_LOCK_TITLE,Lockpicking 2.0,Lockpicking 2.0
UPGRADE_DISTRACT_TITLE,Distraction,Ablenkung
UPGRADE_POWERBANK_DESC,Increases the battery capacity to allow taser usages.,Erhöht die Batteriekapazität des Tasers.
UPGRADE_DOG_DESC,Dogs will love you!,Hunde werden dich lieben!
UPGRADE_ALARM_DESC,Increases the amount of possible detections.,Erhöht die Anzahl der möglichen Entdeckungen.
UPGRADE_SPRINT_DESC,Increases the movement speed.,Erhöht die Bewegungsgeschwindigkeit
UPGRADE_SNEAK_DESC,Enables walk while hiding in the dark.,"Ermöglicht es zu schleichen, während man sich versteckt."
UPGRADE_DARKNET_DESC,Increases the money for every theft by +25%.,Erhöht die Einnahmen aus jedem Diebstahl um +25%
UPGRADE_LOCK_DESC,Make lockpicking easier.,Erleichtert das Schlossknacken.
UPGRADE_DISTRACT_DESC,Guards will report the alarm more delayed.,Die Wächter melden den Alarm verzögert.
PICKUP_BOX,Box,Box
PICKUP_TNT,TNT,Sprengstoff
PICKUP_DUMBBELL,Dumb-Bell,Gewicht
PICKUP_UP,Picked up,Aufgehoben
